name,A3_hist,A3_bins,D1_hist,D1_bins,D2_hist,D2_bins,D3_hist,D3_bins,D4_hist,D4_bins
Datasets\UnifiedPreprocessed\Data\MilitaryVehicle\D00952_unified_prepared.obj,0.082286;0.114783;0.094289;0.078106;0.065963;0.058712;0.057271;0.065353;0.074245;0.073735;0.057982;0.042839;0.031846;0.027425;0.023385;0.019724;0.014203;0.009802;0.006401;0.001650,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.000103;0.000308;0.000821;0.003079;0.002463;0.009647;0.062705;0.159791;0.109606;0.045053;0.041154;0.088259;0.308087;0.134031;0.026683;0.006363;0.001026;0.000616;0.000205,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.016110;0.034190;0.053520;0.080700;0.095230;0.064830;0.052760;0.041080;0.031700;0.024950;0.043610;0.040130;0.026410;0.062620;0.119790;0.045270;0.024660;0.085640;0.049040;0.007760,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.114330;0.128000;0.110760;0.103710;0.096640;0.081840;0.069370;0.059380;0.052520;0.043700;0.035220;0.028280;0.021200;0.016230;0.012340;0.009100;0.006100;0.003880;0.002830;0.004570,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.414890;0.198530;0.127040;0.082750;0.054060;0.033710;0.023700;0.015820;0.011770;0.008890;0.006720;0.005330;0.004350;0.003390;0.002420;0.001790;0.001500;0.001020;0.000750;0.001570,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\MilitaryVehicle\D00971_unified_prepared.obj,0.044453;0.075623;0.093338;0.107402;0.102951;0.092318;0.080694;0.072142;0.063709;0.054016;0.048294;0.041622;0.033610;0.027738;0.022227;0.016385;0.011173;0.007252;0.003951;0.001100,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.000000;0.000543;0.009641;0.094650;0.192966;0.141771;0.115291;0.093699;0.093156;0.122759;0.109859;0.019283;0.002580;0.000000;0.000951;0.002852;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.011820;0.039130;0.046310;0.061490;0.086660;0.118830;0.142630;0.134380;0.102700;0.071720;0.052390;0.045230;0.034800;0.024570;0.016610;0.008150;0.001410;0.000650;0.000480;0.000040,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.136490;0.173240;0.167140;0.155520;0.128590;0.099630;0.065530;0.039310;0.021110;0.009560;0.002920;0.000830;0.000110;0.000020;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.489180;0.217880;0.128530;0.077410;0.044800;0.024520;0.011110;0.004580;0.001420;0.000400;0.000140;0.000020;0.000010;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\Monitor\D00007_unified_prepared.obj,0.192586;0.095218;0.071431;0.065809;0.059357;0.050655;0.048674;0.046403;0.044803;0.042012;0.038941;0.037481;0.034400;0.032299;0.031109;0.030349;0.027178;0.024047;0.019666;0.007582,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.000000;0.001025;0.002946;0.001409;0.011786;0.003587;0.019728;0.005893;0.007430;0.491033;0.408532;0.022675;0.004868;0.011530;0.007558;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.774020;0.008350;0.013030;0.002910;0.020980;0.028320;0.011560;0.013050;0.029420;0.032640;0.014570;0.015270;0.004960;0.013410;0.000630;0.006380;0.001210;0.009090;0.000090;0.000110,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.964140;0.007270;0.004920;0.003710;0.004260;0.002140;0.002790;0.002490;0.002030;0.001420;0.001130;0.000690;0.000570;0.000500;0.000820;0.000330;0.000360;0.000140;0.000180;0.000110,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.996960;0.001100;0.000450;0.000380;0.000290;0.000180;0.000150;0.000120;0.000140;0.000050;0.000040;0.000060;0.000020;0.000010;0.000000;0.000010;0.000010;0.000000;0.000010;0.000020,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\Monitor\D00141_unified_prepared.obj,0.207299;0.116766;0.082302;0.061599;0.049077;0.043346;0.039426;0.036595;0.035725;0.033355;0.031714;0.032024;0.032645;0.032315;0.031224;0.032124;0.031134;0.028844;0.030024;0.012462,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.000000;0.000000;0.000000;0.000000;0.697566;0.170791;0.009533;0.024645;0.036207;0.027789;0.020081;0.006592;0.002738;0.002637;0.001420;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.583780;0.167280;0.029450;0.043800;0.047550;0.044640;0.024900;0.008020;0.002820;0.007940;0.018990;0.007740;0.007760;0.004000;0.000810;0.000310;0.000150;0.000050;0.000010;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.945700;0.029000;0.009350;0.004870;0.003270;0.002630;0.002110;0.001230;0.000770;0.000260;0.000390;0.000180;0.000110;0.000050;0.000030;0.000040;0.000000;0.000010;0.000000;0.000000,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.995360;0.002900;0.000720;0.000350;0.000230;0.000160;0.000100;0.000090;0.000030;0.000020;0.000010;0.000010;0.000010;0.000000;0.000000;0.000000;0.000010;0.000000;0.000000;0.000000,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\Monitor\D00229_unified_prepared.obj,0.062924;0.075977;0.093641;0.095321;0.091790;0.091250;0.086029;0.075957;0.064714;0.051681;0.044460;0.036488;0.031297;0.026186;0.021765;0.016824;0.014343;0.010752;0.006241;0.002361,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.001805;0.064741;0.128159;0.040674;0.037304;0.033815;0.032491;0.057521;0.098917;0.073285;0.175090;0.148255;0.033333;0.010108;0.018773;0.014320;0.008424;0.019254;0.003730,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.028400;0.026610;0.031570;0.052220;0.074600;0.098920;0.108440;0.105220;0.109870;0.094920;0.063870;0.046140;0.034740;0.024870;0.018220;0.018810;0.021830;0.018130;0.011980;0.010640,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.152600;0.128210;0.127470;0.125660;0.110850;0.090240;0.064030;0.045700;0.036540;0.026200;0.019810;0.014930;0.011550;0.009120;0.007860;0.006330;0.005700;0.005070;0.003370;0.008760,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.461280;0.168380;0.105390;0.071940;0.051340;0.035820;0.026690;0.018900;0.013950;0.010220;0.007870;0.005780;0.004020;0.003540;0.003190;0.002050;0.001820;0.001660;0.001130;0.005030,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\Monitor\D00336_unified_prepared.obj,0.086778;0.088749;0.079657;0.073826;0.083307;0.080017;0.073145;0.073135;0.069935;0.064614;0.056412;0.045780;0.035307;0.026516;0.022785;0.013113;0.008892;0.007071;0.006891;0.004071,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.000000;0.001031;0.000618;0.001031;0.000412;0.000515;0.005256;0.021024;0.062661;0.114398;0.198392;0.235906;0.162115;0.122230;0.058229;0.015150;0.001031;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.028700;0.050380;0.058570;0.062900;0.058110;0.048770;0.047370;0.047040;0.048250;0.049950;0.048470;0.057090;0.055470;0.046530;0.066320;0.077600;0.073530;0.054590;0.015820;0.004540,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.178480;0.110950;0.085830;0.071720;0.065080;0.058980;0.050970;0.047580;0.043630;0.042450;0.039420;0.035250;0.030480;0.027780;0.024850;0.021180;0.018450;0.014060;0.009960;0.022900,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.431670;0.140310;0.092630;0.065060;0.047250;0.035580;0.028250;0.023040;0.018880;0.015970;0.013350;0.011980;0.010890;0.008800;0.007690;0.006720;0.005850;0.005240;0.004120;0.026720,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\Monitor\D00339_unified_prepared.obj,0.226794;0.114702;0.061967;0.066749;0.055556;0.044542;0.039751;0.035770;0.031559;0.030409;0.030649;0.030589;0.028458;0.026848;0.030399;0.030539;0.022756;0.023707;0.034060;0.034200,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000402;0.000703;0.003213;0.305622;0.021787;0.330321;0.013956;0.007530;0.122189;0.114859;0.043273;0.006928;0.011948;0.006928;0.003514;0.002108;0.001707;0.001707;0.000602;0.000703,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.187680;0.215730;0.067700;0.048800;0.139040;0.147140;0.073360;0.044450;0.018070;0.012350;0.010590;0.009180;0.008610;0.007910;0.004820;0.002040;0.001270;0.000670;0.000460;0.000130,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.841580;0.055380;0.039010;0.025870;0.013390;0.008770;0.006640;0.003610;0.002570;0.001090;0.000870;0.000350;0.000210;0.000230;0.000140;0.000130;0.000030;0.000020;0.000030;0.000080,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.988090;0.007180;0.002620;0.000900;0.000570;0.000240;0.000210;0.000100;0.000050;0.000010;0.000010;0.000020;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\Monitor\D00364_unified_prepared.obj,0.031951;0.061030;0.083207;0.095962;0.104224;0.105325;0.102294;0.091800;0.077386;0.064701;0.049756;0.039783;0.029150;0.021407;0.015615;0.010684;0.007973;0.004301;0.002651;0.000800,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.000000;0.000000;0.002680;0.007553;0.012913;0.020831;0.030211;0.048118;0.163845;0.172981;0.125228;0.129857;0.105007;0.083445;0.043854;0.040078;0.013400;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.009070;0.014780;0.021480;0.034310;0.045220;0.053830;0.060810;0.068130;0.074530;0.076590;0.083010;0.080350;0.085260;0.085100;0.070480;0.057990;0.043710;0.023230;0.009560;0.002560,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.052980;0.066220;0.073440;0.077920;0.077500;0.075730;0.072380;0.068830;0.064200;0.057630;0.052050;0.047930;0.041410;0.035060;0.029820;0.024790;0.019850;0.016550;0.013070;0.032640,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.204190;0.122540;0.095030;0.078010;0.064860;0.058180;0.048570;0.042620;0.036140;0.032770;0.028390;0.024030;0.020680;0.018470;0.016260;0.014680;0.012690;0.010730;0.009370;0.061790,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\Monitor\D00387_unified_prepared.obj,0.079768;0.097873;0.091231;0.088790;0.089411;0.083439;0.071967;0.060064;0.053722;0.049031;0.042130;0.038389;0.033818;0.029887;0.026126;0.022495;0.017704;0.012943;0.008412;0.002801,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.002105;0.038133;0.143246;0.188808;0.048038;0.018695;0.141018;0.058314;0.032933;0.084561;0.063142;0.055342;0.033676;0.044323;0.003962;0.043704;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.039780;0.073390;0.044590;0.086110;0.132590;0.143580;0.111170;0.085780;0.052800;0.044970;0.039450;0.033200;0.025860;0.024460;0.020410;0.015250;0.012110;0.005350;0.004050;0.005100,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.310380;0.192420;0.171310;0.109400;0.066180;0.042410;0.028570;0.020340;0.015230;0.010880;0.006930;0.005300;0.004370;0.003850;0.003120;0.001870;0.001480;0.000930;0.001080;0.003950,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.735540;0.139500;0.059670;0.029220;0.014650;0.008160;0.005170;0.003230;0.001890;0.001340;0.000800;0.000500;0.000190;0.000100;0.000010;0.000000;0.000020;0.000010;0.000000;0.000000,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\Monitor\D00391_unified_prepared.obj,0.197013;0.098321;0.079245;0.067462;0.062310;0.052597;0.041793;0.039373;0.035481;0.038562;0.031340;0.029589;0.032230;0.034411;0.040203;0.035761;0.031770;0.024348;0.019076;0.009113,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.002257;0.003809;0.001129;0.023561;0.001975;0.015378;0.651383;0.016084;0.010581;0.046416;0.017071;0.055587;0.017212;0.035553;0.027793;0.074210;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.366440;0.072190;0.037370;0.030050;0.069290;0.067420;0.018850;0.031340;0.064280;0.072310;0.031080;0.028410;0.037910;0.049230;0.005190;0.003280;0.003820;0.004540;0.003040;0.003960,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.742330;0.066500;0.045860;0.030930;0.025230;0.017410;0.014330;0.011710;0.011480;0.010560;0.006060;0.003780;0.002360;0.001850;0.001820;0.001480;0.001390;0.001780;0.001060;0.002080,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.957380;0.023080;0.009420;0.005320;0.002230;0.001140;0.000690;0.000280;0.000310;0.000030;0.000030;0.000030;0.000000;0.000000;0.000010;0.000020;0.000010;0.000020;0.000000;0.000000,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\Monitor\D00412_unified_prepared.obj,0.097668;0.078573;0.074412;0.091867;0.080423;0.068660;0.068910;0.078643;0.074802;0.060117;0.052035;0.044723;0.038891;0.022737;0.017315;0.015855;0.013894;0.010943;0.007042;0.002491,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.000814;0.016054;0.056538;0.039902;0.104002;0.088879;0.043392;0.048395;0.013960;0.015007;0.151349;0.010819;0.341089;0.063518;0.000233;0.000000;0.000465;0.000465;0.005119,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.065250;0.055130;0.066190;0.050570;0.053610;0.070360;0.149210;0.091040;0.070560;0.056040;0.092500;0.087390;0.040550;0.016360;0.017500;0.007150;0.001890;0.001470;0.001670;0.005560,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.267510;0.159660;0.133700;0.106130;0.090080;0.070200;0.047930;0.035370;0.027040;0.020700;0.015250;0.009250;0.006980;0.003860;0.001970;0.001620;0.001020;0.000630;0.000440;0.000660,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.609890;0.141850;0.087300;0.051980;0.034360;0.021360;0.014510;0.010970;0.007860;0.005500;0.003340;0.002870;0.002000;0.001410;0.001180;0.001060;0.000650;0.000450;0.000320;0.001140,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\Monitor\D00444_unified_prepared.obj,0.104462;0.103092;0.094300;0.084708;0.077016;0.071325;0.063203;0.056792;0.051741;0.046630;0.041519;0.037108;0.032917;0.029886;0.024725;0.021314;0.018954;0.017334;0.015803;0.007172,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.000200;0.000702;0.007618;0.029568;0.018543;0.016037;0.017641;0.060940;0.140824;0.183121;0.177508;0.124486;0.092212;0.060339;0.029869;0.024657;0.014333;0.001403;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.024800;0.050440;0.057330;0.070590;0.068510;0.067120;0.072380;0.076040;0.065920;0.061080;0.062250;0.053510;0.049920;0.059770;0.056830;0.038040;0.025160;0.018810;0.013000;0.008500,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.235820;0.152990;0.112810;0.081880;0.065550;0.054250;0.046870;0.039940;0.034380;0.029860;0.025570;0.022580;0.019330;0.017610;0.015450;0.012740;0.009380;0.007300;0.005290;0.010400,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.749550;0.093290;0.040430;0.025050;0.018050;0.013960;0.012230;0.010230;0.007780;0.006640;0.005140;0.004220;0.003590;0.002270;0.001660;0.001530;0.001180;0.000840;0.000550;0.001810,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\Monitor\D00469_unified_prepared.obj,0.038136;0.071091;0.093244;0.101555;0.096294;0.092444;0.089123;0.079522;0.074041;0.063740;0.052218;0.042546;0.032095;0.024044;0.017863;0.012392;0.009191;0.005651;0.003731;0.001080,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.000000;0.000000;0.000000;0.000000;0.027429;0.035065;0.050738;0.136240;0.148900;0.116246;0.113132;0.122275;0.116648;0.079574;0.044509;0.009042;0.000201;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.009840;0.023690;0.041660;0.057360;0.071730;0.080710;0.086860;0.080340;0.095030;0.075190;0.065280;0.070240;0.066470;0.063200;0.051170;0.031610;0.017820;0.007930;0.002950;0.000920,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.088210;0.125370;0.126030;0.110900;0.095040;0.081320;0.072340;0.062590;0.054490;0.043520;0.036090;0.027150;0.020900;0.015400;0.011830;0.008340;0.006590;0.004580;0.003170;0.006140,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.328830;0.170960;0.117170;0.083210;0.064510;0.049160;0.037230;0.029900;0.024130;0.019000;0.015540;0.011940;0.009610;0.007800;0.006070;0.005180;0.004250;0.003050;0.002440;0.010020,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
