file,category,original_vertices,resampled_vertices,original_faces,resampled_faces,expected_action,actual_action,change
m1533.obj,Car,7374,7374,14462,14434,unchanged,unchanged,0
m1535.obj,Car,15178,8239,29304,15977,simplify,simplified,-6939
m1536.obj,Car,1503,9157,3653,18300,subdivide,subdivided,7654
m1538.obj,Car,1830,7289,3640,14560,subdivide,subdivided,5459
m1539.obj,Car,8254,8254,16515,16515,unchanged,unchanged,0
m1540.obj,Car,8492,8468,16860,16860,unchanged,simplified,-24
m1542.obj,Car,4384,9338,7414,15862,subdivide,subdivided,4954
m1543.obj,Car,386,7911,548,14688,subdivide,subdivided,7525
m1544.obj,Car,60326,7909,116378,14866,simplify,simplified,-52417
m1545.obj,Car,8278,8008,14914,14547,unchanged,simplified,-270
m1546.obj,Car,9068,9068,15012,14918,unchanged,unchanged,0
m1547.obj,Car,249,10000,440,19712,subdivide,subdivided,9751
m1548.obj,Car,8278,8008,14914,14547,unchanged,simplified,-270
m1550.obj,Car,9369,9368,17526,17526,unchanged,unchanged,-1
m1551.obj,Car,18528,7867,35465,15011,simplify,simplified,-10661
m1552.obj,Car,5247,8014,10474,16008,unchanged,subdivided,2767
m1553.obj,Car,1239,9046,1915,16073,subdivide,subdivided,7807
m1555.obj,Car,16607,8956,30255,16518,simplify,simplified,-7651
m1556.obj,Car,35131,9670,119540,15912,simplify,simplified,-25461
m1557.obj,Car,8489,8489,16656,16656,unchanged,unchanged,0
m1558.obj,Car,6943,6935,11791,11413,unchanged,unchanged,-8
m1559.obj,Car,15606,8597,30000,16375,simplify,simplified,-7009
m1560.obj,Car,21686,8235,43584,16631,simplify,simplified,-13451
m1561.obj,Car,332,9635,558,19077,subdivide,subdivided,9303
m1562.obj,Car,12016,9430,21840,17034,simplify,simplified,-2586
m1563.obj,Car,616,9007,1110,17728,subdivide,subdivided,8391
D00018.obj,Cellphone,14101,7963,26960,14716,simplify,simplified,-6138
D00032.obj,Cellphone,1271,9827,2481,19442,subdivide,subdivided,8556
D00079.obj,Cellphone,20105,7933,36972,14122,simplify,simplified,-12172
D00152.obj,Cellphone,34506,9373,74103,18272,simplify,simplified,-25133
D00192.obj,Cellphone,1230,8148,2380,16216,subdivide,subdivided,6918
D00248.obj,Cellphone,5687,8677,11460,17273,unchanged,subdivided,2990
D00312.obj,Cellphone,348,5166,644,10304,subdivide,subdivided,4818
D00327.obj,Cellphone,6318,9563,11987,18209,unchanged,subdivided,3245
D00362.obj,Cellphone,27252,8182,53829,15901,simplify,simplified,-19070
D00369.obj,Cellphone,925,9920,1735,19419,subdivide,subdivided,8995
D00440.obj,Cellphone,742,8987,1422,17733,subdivide,subdivided,8245
D00527.obj,Cellphone,8796,8252,16102,11427,unchanged,simplified,-544
D00542.obj,Cellphone,16185,8851,59840,17605,simplify,simplified,-7334
D00554.obj,Cellphone,7977,7973,14376,14240,unchanged,unchanged,-4
D00559.obj,Cellphone,2527,7888,5956,15624,subdivide,subdivided,5361
D00817.obj,Cellphone,5016,9767,9766,19064,unchanged,subdivided,4751
D00848.obj,Cellphone,9738,9736,18396,18374,unchanged,unchanged,-2
D00902.obj,Cellphone,2288,9144,4580,18252,subdivide,subdivided,6856
D00979.obj,Cellphone,2524,7873,5956,15584,subdivide,subdivided,5349
D00997.obj,Cellphone,4288,9357,8564,18702,subdivide,subdivided,5069
D01017.obj,Chess,380,9247,756,18490,subdivide,subdivided,8867
D01019.obj,Chess,416,7899,828,15794,subdivide,subdivided,7483
D01021.obj,Chess,1474,9003,2944,18002,subdivide,subdivided,7529
D01043.obj,Chess,389,9433,772,18832,subdivide,subdivided,9044
D01045.obj,Chess,1542,9418,3080,18832,subdivide,subdivided,7876
D01049.obj,Chess,214,8165,419,16313,subdivide,subdivided,7951
D01053.obj,Chess,89,8272,168,16436,subdivide,subdivided,8183
D01080.obj,Chess,250,8667,496,17330,subdivide,subdivided,8417
D01081.obj,Chess,6727,8021,13450,16038,unchanged,subdivided,1294
D01099.obj,Chess,2386,9523,4750,18960,subdivide,subdivided,7137
D01105.obj,Chess,282,9786,560,19568,subdivide,subdivided,9504
D01112.obj,Chess,1182,8042,2360,16080,subdivide,subdivided,6860
D01123.obj,Chess,390,9492,776,18980,subdivide,subdivided,9102
D01126.obj,Chess,802,9986,1600,19968,subdivide,subdivided,9184
D01130.obj,Chess,1282,7836,2600,15654,subdivide,subdivided,6554
D01138.obj,Chess,416,7899,828,15794,subdivide,subdivided,7483
D01145.obj,Chess,390,9492,776,18980,subdivide,subdivided,9102
D01171.obj,Chess,4002,8738,8000,17472,subdivide,subdivided,4736
D01186.obj,Chess,154,9730,304,19456,subdivide,subdivided,9576
D01188.obj,Chess,242,8388,480,16772,subdivide,subdivided,8146
m1589.obj,Chess,3782,8187,7218,15726,subdivide,subdivided,4405
m1591.obj,Chess,7339,7339,14472,14466,unchanged,unchanged,0
m1593.obj,Chess,25650,9924,50984,19453,simplify,simplified,-15726
m1595.obj,Chess,60667,7993,121343,15790,simplify,simplified,-52674
m1596.obj,Chess,16803,9237,32997,18005,simplify,simplified,-7566
m1598.obj,Chess,1182,8042,2360,16080,subdivide,subdivided,6860
m1599.obj,Chess,250,8667,496,17330,subdivide,subdivided,8417
m1600.obj,Chess,416,7899,828,15794,subdivide,subdivided,7483
m1601.obj,Chess,6727,8021,13450,16038,unchanged,subdivided,1294
m1602.obj,Chess,1542,9418,3080,18832,subdivide,subdivided,7876
m1603.obj,Chess,389,9426,772,18832,subdivide,subdivided,9037
m1604.obj,Chess,214,8165,419,16314,subdivide,subdivided,7951
m1605.obj,Chess,89,8258,168,16435,subdivide,subdivided,8169
m1606.obj,Chess,2386,9523,4750,18960,subdivide,subdivided,7137
m1607.obj,Chess,802,9986,1600,19968,subdivide,subdivided,9184
m1608.obj,Chess,242,8388,480,16772,subdivide,subdivided,8146
m1609.obj,Chess,154,9730,304,19456,subdivide,subdivided,9576
m1610.obj,Chess,6094,9192,12184,18372,unchanged,subdivided,3098
m1611.obj,Chess,1474,9003,2944,18002,subdivide,subdivided,7529
m1612.obj,Chess,1282,7848,2600,15653,subdivide,subdivided,6566
m1613.obj,Chess,282,9786,560,19568,subdivide,subdivided,9504
m1614.obj,Chess,390,9492,776,18980,subdivide,subdivided,9102
D01001.obj,City,6615,9187,7853,11675,unchanged,subdivided,2572
D01007.obj,City,3153,9190,3119,12068,subdivide,subdivided,6037
D01010.obj,City,1049,9270,1948,15862,subdivide,subdivided,8221
D01018.obj,City,6529,9286,10335,15763,unchanged,subdivided,2757
D01039.obj,City,1335,9759,2022,17495,subdivide,subdivided,8424
D01056.obj,City,1636,9312,1767,14325,subdivide,subdivided,7676
D01066.obj,City,9894,9891,17091,16671,unchanged,unchanged,-3
D01068.obj,City,5535,8128,9290,14016,unchanged,subdivided,2593
D01079.obj,City,9201,9137,17394,15870,unchanged,simplified,-64
D01090.obj,City,7089,7089,13409,13031,unchanged,unchanged,0
D01091.obj,City,1292,9432,2136,17767,subdivide,subdivided,8140
D01092.obj,City,1273,9608,1337,16110,subdivide,subdivided,8335
D01101.obj,City,26064,8334,35805,10190,simplify,simplified,-17730
D01103.obj,City,2273,7457,3112,11636,subdivide,subdivided,5184
D01124.obj,City,5138,8177,9152,14873,unchanged,subdivided,3039
D01133.obj,City,5780,8596,10712,16288,unchanged,subdivided,2816
D01173.obj,City,2341,8562,4217,15864,subdivide,subdivided,6221
D01181.obj,City,5135,9370,5327,11383,unchanged,subdivided,4235
D01192.obj,City,14710,8519,16111,8546,simplify,simplified,-6191
D01195.obj,City,16857,8706,16061,8751,simplify,simplified,-8151
m1652.obj,City,2274,7457,2938,11636,subdivide,subdivided,5183
m1654.obj,City,5538,8159,9290,14017,unchanged,subdivided,2621
m1659.obj,City,5804,8592,10692,16289,unchanged,subdivided,2788
m1660.obj,City,2341,8562,4217,15864,subdivide,subdivided,6221
m1661.obj,City,1344,9762,2022,17495,subdivide,subdivided,8418
m1662.obj,City,9201,9137,17394,15870,unchanged,simplified,-64
m1664.obj,City,1049,9279,1891,15849,subdivide,subdivided,8230
D00005.obj,ClassicPiano,626,9756,3708,19296,subdivide,subdivided,9130
D00009.obj,ClassicPiano,2027,8000,11958,15928,subdivide,subdivided,5973
D00034.obj,ClassicPiano,1611,7841,10902,15408,subdivide,subdivided,6230
D00092.obj,ClassicPiano,5901,8839,33381,16361,unchanged,subdivided,2938
D00120.obj,ClassicPiano,231,8273,1311,16313,subdivide,subdivided,8042
D00190.obj,ClassicPiano,1572,9601,10371,18967,subdivide,subdivided,8029
D00233.obj,ClassicPiano,5204,8447,27690,15419,unchanged,subdivided,3243
D00254.obj,ClassicPiano,1335,9906,8016,18987,subdivide,subdivided,8571
D00279.obj,ClassicPiano,7253,7218,43107,13777,unchanged,simplified,-35
D00305.obj,ClassicPiano,1710,6799,10353,13204,subdivide,subdivided,5089
D00314.obj,ClassicPiano,6800,6800,31047,10292,unchanged,unchanged,0
D00561.obj,ClassicPiano,1826,9534,9165,18209,subdivide,subdivided,7708
D00579.obj,ClassicPiano,2369,8392,12150,15864,subdivide,subdivided,6023
D00605.obj,ClassicPiano,8121,8025,47805,15106,unchanged,simplified,-96
D00784.obj,ClassicPiano,5131,9944,31437,18499,unchanged,subdivided,4813
D00789.obj,ClassicPiano,3135,8871,15573,15486,subdivide,subdivided,5736
D00811.obj,ClassicPiano,615,9396,3606,18368,subdivide,subdivided,8781
D00845.obj,ClassicPiano,750,9436,3345,17504,subdivide,subdivided,8686
D00967.obj,ClassicPiano,1420,8232,8391,16373,subdivide,subdivided,6812
D00983.obj,ClassicPiano,204,8077,954,15424,subdivide,subdivided,7873
D01002.obj,Computer,2591,8016,5109,15939,subdivide,subdivided,5425
D01023.obj,Computer,11463,9167,20749,16174,simplify,simplified,-2296
D01026.obj,Computer,396,9310,760,18588,subdivide,subdivided,8914
D01028.obj,Computer,2503,9065,4217,16556,subdivide,subdivided,6562
D01033.obj,Computer,2986,9031,5666,17677,subdivide,subdivided,6045
D01037.obj,Computer,135,7503,400,14976,subdivide,subdivided,7368
D01067.obj,Computer,5026,8376,9528,16228,unchanged,subdivided,3350
D01070.obj,Computer,3935,8511,7734,16890,subdivide,subdivided,4576
D01071.obj,Computer,29,8499,43,16828,subdivide,subdivided,8470
D01072.obj,Computer,325,9712,618,19378,subdivide,subdivided,9387
D01073.obj,Computer,4638,9950,8997,19633,subdivide,subdivided,5312
D01082.obj,Computer,4269,8299,6365,13137,subdivide,subdivided,4030
D01085.obj,Computer,46,9736,76,19456,subdivide,subdivided,9690
D01098.obj,Computer,668,9291,1092,17472,subdivide,subdivided,8623
D01100.obj,Computer,2986,9033,5666,17676,subdivide,subdivided,6047
D01102.obj,Computer,28,8554,30,16772,subdivide,subdivided,8526
D01115.obj,Computer,6515,9702,11211,17121,unchanged,subdivided,3187
D01128.obj,Computer,17298,9558,34133,18603,simplify,simplified,-7740
D01164.obj,Computer,2673,8099,5270,15668,subdivide,subdivided,5426
D01185.obj,Computer,270,8084,538,15933,subdivide,subdivided,7814
m1764.obj,Computer,668,9290,1092,17472,subdivide,subdivided,8622
m1765.obj,Computer,28,8531,30,16772,subdivide,subdivided,8503
m1766.obj,Computer,29,8481,43,16826,subdivide,subdivided,8452
m1767.obj,Computer,2591,8010,5109,15939,subdivide,subdivided,5419
m1769.obj,Computer,46,9736,76,19456,subdivide,subdivided,9690
m1770.obj,Computer,2986,9031,5666,17676,subdivide,subdivided,6045
m1772.obj,Computer,17301,9558,34133,18603,simplify,simplified,-7743
m1773.obj,Computer,2503,9065,4217,16556,subdivide,subdivided,6562
m1774.obj,Computer,284,9176,740,18308,subdivide,subdivided,8892
m1775.obj,Computer,396,9310,760,18588,subdivide,subdivided,8914
m1776.obj,Computer,270,8093,538,15932,subdivide,subdivided,7823
m1777.obj,Computer,325,9709,618,19379,subdivide,subdivided,9384
m1778.obj,Computer,5026,8377,9528,16228,unchanged,subdivided,3351
D00116.obj,ComputerKeyboard,805,8906,4113,17010,subdivide,subdivided,8101
D00127.obj,ComputerKeyboard,701,9444,3360,17824,subdivide,subdivided,8743
D00197.obj,ComputerKeyboard,6384,9756,38268,19500,unchanged,subdivided,3372
D00278.obj,ComputerKeyboard,1043,7906,5118,14833,subdivide,subdivided,6863
D00360.obj,ComputerKeyboard,6193,9349,35826,18254,unchanged,subdivided,3156
D00382.obj,ComputerKeyboard,8341,8341,40758,13582,unchanged,unchanged,0
D00420.obj,ComputerKeyboard,7131,7131,45807,13914,unchanged,unchanged,0
D00493.obj,ComputerKeyboard,1300,7816,7944,15278,subdivide,subdivided,6516
D00525.obj,ComputerKeyboard,8309,8308,26043,8680,unchanged,unchanged,-1
D00569.obj,ComputerKeyboard,348,8375,2076,16655,subdivide,subdivided,8027
D00597.obj,ComputerKeyboard,8454,8454,50064,16594,unchanged,unchanged,0
D00600.obj,ComputerKeyboard,1837,6867,10497,11928,subdivide,subdivided,5030
D00627.obj,ComputerKeyboard,6564,9921,38160,19415,unchanged,subdivided,3357
D00654.obj,ComputerKeyboard,1179,8114,7401,15617,subdivide,subdivided,6935
D00673.obj,ComputerKeyboard,796,8709,4008,16622,subdivide,subdivided,7913
D00676.obj,ComputerKeyboard,7956,7950,42939,12774,unchanged,unchanged,-6
D00692.obj,ComputerKeyboard,4176,9161,31218,16591,subdivide,subdivided,4985
D00805.obj,ComputerKeyboard,6954,6954,40641,13443,unchanged,unchanged,0
D00905.obj,ComputerKeyboard,1282,7825,7680,15646,subdivide,subdivided,6543
D00990.obj,ComputerKeyboard,1646,9434,9150,18527,subdivide,subdivided,7788
D00035.obj,Cup,235,9959,884,19755,subdivide,subdivided,9724
D00067.obj,Cup,353,8586,702,17168,subdivide,subdivided,8233
D00174.obj,Cup,12252,9557,24500,19110,simplify,simplified,-2695
D00206.obj,Cup,1906,7585,3770,15080,subdivide,subdivided,5679
D00214.obj,Cup,395,9614,786,19224,subdivide,subdivided,9219
D00270.obj,Cup,2490,9897,5022,19672,subdivide,subdivided,7407
D00328.obj,Cup,2570,8014,5231,16024,subdivide,subdivided,5444
D00355.obj,Cup,7114,7114,14224,14224,unchanged,unchanged,0
D00363.obj,Cup,3426,9589,6976,19174,subdivide,subdivided,6163
D00457.obj,Cup,10801,8425,21740,16846,simplify,simplified,-2376
D00463.obj,Cup,4710,8023,9420,16046,subdivide,subdivided,3313
D00519.obj,Cup,456,7152,888,14208,subdivide,subdivided,6696
D00550.obj,Cup,12529,9786,24928,19442,simplify,simplified,-2743
D00587.obj,Cup,7102,7102,14200,14200,unchanged,unchanged,0
D00638.obj,Cup,6786,6786,13568,13568,unchanged,unchanged,0
D00642.obj,Cup,1539,9342,3036,18563,subdivide,subdivided,7803
D00738.obj,Cup,10318,8081,20331,15858,simplify,simplified,-2237
D00843.obj,Cup,8388,8388,16832,16768,unchanged,unchanged,0
D00874.obj,Cup,1895,7541,3748,14992,subdivide,subdivided,5646
D00882.obj,Cup,1553,9486,3102,18968,subdivide,subdivided,7933
m494.obj,Cup,770,9586,1536,19168,subdivide,subdivided,8816
m495.obj,Cup,1401,8508,2750,16814,subdivide,subdivided,7107
m496.obj,Cup,500,7990,1000,15968,subdivide,subdivided,7490
m497.obj,Cup,3008,9334,6012,18369,subdivide,subdivided,6326
m498.obj,Cup,380,8919,720,17609,subdivide,subdivided,8539
m499.obj,Cup,339,9736,636,19191,subdivide,subdivided,9397
m500.obj,Cup,71,9645,138,19286,subdivide,subdivided,9574
m501.obj,Cup,1072,8988,2000,17472,subdivide,subdivided,7916
m502.obj,Cup,752,9362,1500,18720,subdivide,subdivided,8610
m526.obj,Cup,120,7281,226,14464,subdivide,subdivided,7161
D00048.obj,DeskLamp,3533,9820,6976,19532,subdivide,subdivided,6287
D00090.obj,DeskLamp,5696,8672,11216,17145,unchanged,subdivided,2976
D00147.obj,DeskLamp,438,6756,836,13376,subdivide,subdivided,6318
D00257.obj,DeskLamp,2208,8765,4366,17464,subdivide,subdivided,6557
D00268.obj,DeskLamp,1868,7400,3672,14688,subdivide,subdivided,5532
D00330.obj,DeskLamp,9502,9500,18523,18519,unchanged,unchanged,-2
D00378.obj,DeskLamp,69,7992,116,15793,subdivide,subdivided,7923
D00435.obj,DeskLamp,2252,8966,4476,17904,subdivide,subdivided,6714
D00455.obj,DeskLamp,7504,7504,15060,14942,unchanged,unchanged,0
D00531.obj,DeskLamp,2300,9119,4546,18184,subdivide,subdivided,6819
D00547.obj,DeskLamp,22837,8748,45584,17419,simplify,simplified,-14089
D00686.obj,DeskLamp,3504,9734,6901,19321,subdivide,subdivided,6230
D00693.obj,DeskLamp,655,9943,1224,19584,subdivide,subdivided,9288
D00698.obj,DeskLamp,398,7201,1044,19567,subdivide,subdivided,6803
D00715.obj,DeskLamp,1964,7838,3916,15664,subdivide,subdivided,5874
D00744.obj,DeskLamp,21616,8050,38066,14546,simplify,simplified,-13566
D00759.obj,DeskLamp,5891,8992,11780,17934,unchanged,subdivided,3101
D00776.obj,DeskLamp,961,8451,1972,16720,subdivide,subdivided,7490
D00797.obj,DeskLamp,14108,9877,28504,19718,simplify,simplified,-4231
D00912.obj,DeskLamp,4353,9449,8640,18750,subdivide,subdivided,5096
m603.obj,DeskLamp,166,7923,320,15774,subdivide,subdivided,7757
m604.obj,DeskLamp,1316,8178,2333,15861,subdivide,subdivided,6862
m605.obj,DeskLamp,531,7569,1300,15696,subdivide,subdivided,7038
m606.obj,DeskLamp,87,7815,145,15479,subdivide,subdivided,7728
m608.obj,DeskLamp,699,8342,1314,16398,subdivide,subdivided,7643
m609.obj,DeskLamp,1137,9765,2234,19470,subdivide,subdivided,8628
m611.obj,DeskLamp,87,7744,200,18065,subdivide,subdivided,7657
m613.obj,DeskLamp,136,9914,200,19568,subdivide,subdivided,9778
m614.obj,DeskLamp,336,8358,684,16728,subdivide,subdivided,8022
m615.obj,DeskLamp,2689,8348,5410,16650,subdivide,subdivided,5659
m616.obj,DeskLamp,14129,9869,28358,19696,simplify,simplified,-4260
D00118.obj,DeskPhone,12443,8826,21950,17120,simplify,simplified,-3617
D00135.obj,DeskPhone,531,7125,848,13568,subdivide,subdivided,6594
D00154.obj,DeskPhone,11605,9074,22944,17896,simplify,simplified,-2531
D00220.obj,DeskPhone,3924,8529,7780,16990,subdivide,subdivided,4605
D00316.obj,DeskPhone,48061,8970,94497,17694,simplify,simplified,-39091
D00318.obj,DeskPhone,4313,9340,8494,18548,subdivide,subdivided,5027
D00403.obj,DeskPhone,27338,8219,54523,16238,simplify,simplified,-19119
D00486.obj,DeskPhone,1699,7944,3314,15804,subdivide,subdivided,6245
D00511.obj,DeskPhone,31349,8440,60638,16219,simplify,simplified,-22909
D00556.obj,DeskPhone,586,8896,1108,17728,subdivide,subdivided,8310
D00576.obj,DeskPhone,12963,7915,26647,15583,simplify,simplified,-5048
D00680.obj,DeskPhone,814,9565,1508,18794,subdivide,subdivided,8751
D00706.obj,DeskPhone,43899,9060,51962,13801,simplify,simplified,-34839
D00773.obj,DeskPhone,22803,8253,42664,16284,simplify,simplified,-14550
D00829.obj,DeskPhone,3870,8423,7692,16798,subdivide,subdivided,4553
D00894.obj,DeskPhone,880,8213,1678,16332,subdivide,subdivided,7333
D00897.obj,DeskPhone,27047,8121,53857,16052,simplify,simplified,-18926
D00899.obj,DeskPhone,39869,9605,79652,19122,simplify,simplified,-30264
D00957.obj,DeskPhone,14352,9924,28992,19607,simplify,simplified,-4428
D00958.obj,DeskPhone,11731,9094,16509,12767,simplify,simplified,-2637
D01005.obj,Door,6040,9066,11464,17488,unchanged,subdivided,3026
D01029.obj,Door,456,7185,894,14304,subdivide,subdivided,6729
D01052.obj,Door,676,8222,1314,16397,subdivide,subdivided,7546
D01058.obj,Door,858,8057,1617,15544,subdivide,subdivided,7199
D01062.obj,Door,128,8367,252,17511,subdivide,subdivided,8239
D01076.obj,Door,1724,6924,3468,13872,subdivide,subdivided,5200
D01104.obj,Door,871,9517,1772,19106,subdivide,subdivided,8646
D01114.obj,Door,1336,8035,2620,16018,subdivide,subdivided,6699
D01121.obj,Door,16,8324,16,16384,subdivide,subdivided,8308
D01129.obj,Door,2691,9615,4338,17336,subdivide,subdivided,6924
D01136.obj,Door,716,8421,1328,16573,subdivide,subdivided,7705
D01141.obj,Door,2447,9300,4410,17636,subdivide,subdivided,6853
D01144.obj,Door,68,7763,132,15262,subdivide,subdivided,7695
D01155.obj,Door,128,9141,183,17903,subdivide,subdivided,9013
D01158.obj,Door,716,9016,1446,18046,subdivide,subdivided,8300
D01167.obj,Door,124,8393,252,16924,subdivide,subdivided,8269
D01177.obj,Door,88,7978,98,15262,subdivide,subdivided,7890
D01194.obj,Door,18,8977,18,17408,subdivide,subdivided,8959
m1707.obj,Door,456,7185,894,14304,subdivide,subdivided,6729
m1708.obj,Door,16,8324,16,16384,subdivide,subdivided,8308
m1710.obj,Door,522,7922,988,15776,subdivide,subdivided,7400
m1711.obj,Door,68,7793,132,15263,subdivide,subdivided,7725
m1712.obj,Door,1724,6926,3468,13872,subdivide,subdivided,5202
m1713.obj,Door,6044,9063,11464,17486,unchanged,subdivided,3019
m1714.obj,Door,867,8239,1772,16459,subdivide,subdivided,7372
m1715.obj,Door,676,8221,1314,16398,subdivide,subdivided,7545
m1716.obj,Door,2447,9300,4410,17636,subdivide,subdivided,6853
m1717.obj,Door,858,8058,1617,15545,subdivide,subdivided,7200
m1718.obj,Door,2695,9615,4338,17336,subdivide,subdivided,6920
m1720.obj,Door,716,8420,1328,16572,subdivide,subdivided,7704
m1721.obj,Door,716,9016,1446,18046,subdivide,subdivided,8300
m1722.obj,Door,1336,8035,2620,16018,subdivide,subdivided,6699
m1723.obj,Door,128,8378,252,17512,subdivide,subdivided,8250
m1724.obj,Door,124,8173,252,16925,subdivide,subdivided,8049
m1725.obj,Door,3232,9956,6406,19876,subdivide,subdivided,6724
m1726.obj,Door,128,9134,183,17903,subdivide,subdivided,9006
m1727.obj,Door,3724,8063,7332,16010,subdivide,subdivided,4339
m1728.obj,Door,2018,7792,3790,15160,subdivide,subdivided,5774
m1729.obj,Door,336,9907,564,19706,subdivide,subdivided,9571
m1730.obj,Door,336,9907,564,19706,subdivide,subdivided,9571
m1731.obj,Door,1974,8100,4084,16336,subdivide,subdivided,6126
m1732.obj,Door,300,7832,575,15588,subdivide,subdivided,7532
D00026.obj,Drum,5506,8368,32619,16266,unchanged,subdivided,2862
D00063.obj,Drum,1200,8180,7752,16298,subdivide,subdivided,6980
D00115.obj,Drum,36,8706,204,17408,subdivide,subdivided,8670
D00163.obj,Drum,8313,8307,37275,11852,unchanged,unchanged,-6
D00189.obj,Drum,651,8100,3894,16198,subdivide,subdivided,7449
D00193.obj,Drum,1800,7456,11628,14392,subdivide,subdivided,5656
D00297.obj,Drum,5561,8353,33351,15846,unchanged,subdivided,2792
D00298.obj,Drum,1609,9633,9414,19188,subdivide,subdivided,8024
D00308.obj,Drum,168,8134,1128,15324,subdivide,subdivided,7966
D00375.obj,Drum,4790,7970,30513,14096,subdivide,subdivided,3180
D00383.obj,Drum,192,9920,1362,19118,subdivide,subdivided,9728
D00404.obj,Drum,1296,7985,8244,15922,subdivide,subdivided,6689
D00551.obj,Drum,240,8456,1572,16771,subdivide,subdivided,8216
D00557.obj,Drum,444,9934,2754,19177,subdivide,subdivided,9490
D00596.obj,Drum,169,8474,1329,16573,subdivide,subdivided,8305
D00709.obj,Drum,24,8611,132,17218,subdivide,subdivided,8587
D00939.obj,Drum,5390,8208,33603,16099,unchanged,subdivided,2818
D00951.obj,Drum,7993,7993,50202,15574,unchanged,unchanged,0
D00980.obj,Drum,5653,8614,33699,17091,unchanged,subdivided,2961
D00982.obj,Drum,1808,7090,11316,13872,subdivide,subdivided,5282
D00012.obj,Fish,4230,8915,6966,15203,subdivide,subdivided,4685
D00022.obj,Fish,3912,8290,6524,14237,subdivide,subdivided,4378
D00024.obj,Fish,3952,8373,6672,14561,subdivide,subdivided,4421
D00030.obj,Fish,3760,9971,6304,17639,subdivide,subdivided,6211
D00142.obj,Fish,3048,9008,5286,16492,subdivide,subdivided,5960
D00165.obj,Fish,4264,8991,7130,15562,subdivide,subdivided,4727
D00251.obj,Fish,4006,8416,6628,14464,subdivide,subdivided,4410
D00293.obj,Fish,4062,8656,6838,14923,subdivide,subdivided,4594
D00351.obj,Fish,3206,9477,5549,17269,subdivide,subdivided,6271
D00398.obj,Fish,3810,8087,6412,13994,subdivide,subdivided,4277
D00450.obj,Fish,3774,7962,6348,13855,subdivide,subdivided,4188
D00535.obj,Fish,3934,8283,6652,14517,subdivide,subdivided,4349
D00633.obj,Fish,3712,9888,6334,17723,subdivide,subdivided,6176
D00636.obj,Fish,3374,9906,5704,17795,subdivide,subdivided,6532
D00643.obj,Fish,3928,8271,6526,14241,subdivide,subdivided,4343
D00682.obj,Fish,3898,8325,6672,14534,subdivide,subdivided,4427
D00748.obj,Fish,5046,8532,8098,13787,unchanged,subdivided,3486
D00763.obj,Fish,4122,8699,6824,14894,subdivide,subdivided,4577
D00850.obj,Fish,4380,9249,7318,15967,subdivide,subdivided,4869
D00950.obj,Fish,3427,8042,5798,14109,subdivide,subdivided,4615
D00028.obj,FloorLamp,701,8617,1376,17172,subdivide,subdivided,7916
D00093.obj,FloorLamp,3661,7908,7472,16088,subdivide,subdivided,4247
D00186.obj,FloorLamp,7694,7694,15316,15316,unchanged,unchanged,0
D00211.obj,FloorLamp,5097,9896,9970,19540,unchanged,subdivided,4799
D00228.obj,FloorLamp,1322,8053,2632,16094,subdivide,subdivided,6731
D00388.obj,FloorLamp,3767,8223,7212,15749,subdivide,subdivided,4456
D00400.obj,FloorLamp,9578,9578,18962,18962,unchanged,unchanged,0
D00408.obj,FloorLamp,3435,8311,6750,16224,subdivide,subdivided,4876
D00447.obj,FloorLamp,4185,9135,8434,18222,subdivide,subdivided,4950
D00495.obj,FloorLamp,4282,9327,8487,18535,subdivide,subdivided,5045
D00563.obj,FloorLamp,11136,8622,26964,17137,simplify,simplified,-2514
D00580.obj,FloorLamp,23655,9145,46682,17684,simplify,simplified,-14510
D00740.obj,FloorLamp,1128,9792,2240,19568,subdivide,subdivided,8664
D00856.obj,FloorLamp,3339,8121,6672,16236,subdivide,subdivided,4782
D00875.obj,FloorLamp,15152,8320,30052,16408,simplify,simplified,-6832
D00876.obj,FloorLamp,14464,7899,28920,15790,simplify,simplified,-6565
D00888.obj,FloorLamp,1819,7267,3632,14528,subdivide,subdivided,5448
D00924.obj,FloorLamp,17582,9659,34872,19038,simplify,simplified,-7923
D00955.obj,FloorLamp,8300,8300,16560,16560,unchanged,unchanged,0
D00981.obj,FloorLamp,440,6570,816,12864,subdivide,subdivided,6130
m617.obj,FloorLamp,4440,9658,8828,19253,subdivide,subdivided,5218
m618.obj,FloorLamp,1622,9887,3232,19762,subdivide,subdivided,8265
m619.obj,FloorLamp,361,5617,696,11136,subdivide,subdivided,5256
m620.obj,FloorLamp,5584,8507,11058,16904,unchanged,subdivided,2923
m621.obj,FloorLamp,778,9565,1528,18994,subdivide,subdivided,8787
D00050.obj,Glasses,5652,8638,11300,17272,unchanged,subdivided,2986
D00201.obj,Glasses,6519,9965,12656,19346,unchanged,subdivided,3446
D00225.obj,Glasses,1524,9200,3000,18344,subdivide,subdivided,7676
D00432.obj,Glasses,408,8884,700,16926,subdivide,subdivided,8476
D00475.obj,Glasses,1566,9487,3092,18907,subdivide,subdivided,7921
D00507.obj,Glasses,5652,8638,11300,17272,unchanged,subdivided,2986
D00560.obj,Glasses,4230,9216,8368,18275,subdivide,subdivided,4986
D00575.obj,Glasses,16468,9027,32776,17894,simplify,simplified,-7441
D00630.obj,Glasses,3019,9366,5960,18594,subdivide,subdivided,6347
D00640.obj,Glasses,12793,9979,25604,19848,simplify,simplified,-2814
